,phrase,score,label
0,neural networks,0.8548830631023001,1
1,pos tagging,0.78638505060885,1
2,bi lstm,0.7324850599642999,1
3,sequence labeling,0.73210725055035,1
4,word embedding,0.7147973888621,1
5,transfer learning,0.7037840901735001,1
6,language model,0.6981825698537499,1
7,word embeddings,0.6678259412851499,1
8,lstm crf,0.6388500392870501,1
9,conditional random,0.6309577078687499,0
10,f1 score,0.6255152188374999,1
11,named entity recognition,0.60818630695,1
12,task specific,0.6013841448225,1
13,highway layers,0.5940805581795,1
14,language models,0.5937706491139999,1
15,hidden state,0.58223563120415,0
16,f1,0.5788074311073287,1
17,highway,0.5586074149750483,1
18,pre trained,0.55778090682825,1
19,character level,0.55629055108485,1
20,word level,0.55135464803915,1
21,cnn,0.5491844213364353,1
22,ma,0.5481795033244042,0
23,conll,0.5343303165546823,1
24,ner,0.5195999691071842,1
25,multi task learning,0.5125851580495,1
26,sequence labeling tasks,0.5058495076305,1
