"","df_train..Gene.Description.","df_train..Gene.Accession.Number.","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","34","35","36","37","38","28","29","30","31","32","33"
"1","AFFX-BioB-5_at (endogenous control)","AFFX-BioB-5_at",-214,-139,-76,-135,-106,-138,-72,-413,5,-88,-165,-67,-92,-113,-107,-117,-476,-81,-44,17,-144,-247,-74,-120,-81,-112,-273,-20,7,-213,-25,-72,-4,15,-318,-32,-124,-135
"2","AFFX-BioB-M_at (endogenous control)","AFFX-BioB-M_at",-153,-73,-49,-114,-125,-85,-144,-260,-127,-105,-155,-93,-119,-147,-72,-219,-213,-150,-51,-229,-199,-90,-321,-263,-150,-233,-327,-207,-100,-252,-20,-139,-116,-114,-192,-49,-79,-186
"3","AFFX-BioB-3_at (endogenous control)","AFFX-BioB-3_at",-58,-1,-307,265,-76,215,238,7,106,42,-71,84,-31,-118,-126,-50,-18,-119,100,79,-157,-168,-11,-114,-85,-78,-76,-50,-57,136,124,-1,-125,2,-95,49,-37,-70
"4","AFFX-BioC-5_at (endogenous control)","AFFX-BioC-5_at",88,283,309,12,168,71,55,-2,268,219,82,25,173,243,149,257,301,78,207,218,132,-24,-36,255,316,54,81,101,132,318,325,392,241,193,312,230,330,337
"5","AFFX-BioC-3_at (endogenous control)","AFFX-BioC-3_at",-295,-264,-376,-419,-230,-272,-399,-541,-210,-178,-163,-179,-233,-127,-205,-218,-403,-152,-146,-262,-151,-308,-317,-342,-418,-244,-439,-369,-377,-209,-396,-324,-191,-51,-139,-367,-188,-407
"6","AFFX-BioDn-5_at (endogenous control)","AFFX-BioDn-5_at",-558,-400,-650,-585,-284,-558,-551,-790,-535,-246,-430,-323,-227,-398,-284,-402,-394,-340,-221,-404,-347,-571,-499,-396,-461,-275,-616,-529,-478,-557,-464,-510,-411,-155,-344,-508,-423,-566
"7","AFFX-BioDn-3_at (endogenous control)","AFFX-BioDn-3_at",199,-330,33,158,4,67,131,-275,0,328,100,-135,-49,-249,-166,228,-42,-36,83,326,-118,-170,-138,-412,-66,-479,419,14,-351,40,-221,-350,-31,29,324,-349,-31,-141
"8","AFFX-CreX-5_at (endogenous control)","AFFX-CreX-5_at",-176,-168,-367,-253,-122,-186,-179,-463,-174,-148,-109,-127,-62,-228,-185,-147,-144,-141,-198,-201,-24,-224,-119,-153,-184,-108,-251,-365,-290,-243,-390,-202,-240,-105,-237,-194,-223,-315
"9","AFFX-CreX-3_at (endogenous control)","AFFX-CreX-3_at",252,101,206,49,70,87,126,70,24,177,56,-2,13,-37,1,65,98,96,34,6,126,124,115,184,164,136,165,153,283,119,-1,249,150,42,105,34,-82,206
"10","AFFX-BioB-5_st (endogenous control)","AFFX-BioB-5_st",206,74,-215,31,252,193,-20,-169,506,183,350,-66,230,113,-23,67,173,-55,-20,469,-201,-117,-17,-162,-5,-86,350,29,247,-131,358,561,24,524,167,-56,176,321
"11","AFFX-BioB-M_st (endogenous control)","AFFX-BioB-M_st",-41,19,19,363,155,325,-115,361,284,-143,204,208,2,188,205,-101,-133,-209,11,-127,-89,-14,265,100,46,-190,-40,255,146,45,-197,275,19,-70,-50,147,226,233
"12","AFFX-BioB-3_st (endogenous control)","AFFX-BioB-3_st",-831,-743,-1135,-934,-471,-631,-1003,-1001,-829,-684,-524,-472,-425,-625,-437,-547,-959,-362,-535,-539,-429,-731,-600,-477,-470,-308,-1250,-769,-752,-902,-852,-785,-669,-344,-820,-841,-1010,-946
"13","AFFX-BioC-5_st (endogenous control)","AFFX-BioC-5_st",-653,-239,-962,-577,-490,-625,-761,-520,-844,-468,-599,-163,-381,-413,-351,-277,-271,-427,-386,-95,-74,-546,-469,-498,-383,-497,-863,-615,-702,-306,-689,-326,-664,-285,-231,-657,-513,-909
"14","AFFX-BioC-3_st (endogenous control)","AFFX-BioC-3_st",-462,-83,-232,-214,-184,-177,-541,-163,-230,-51,-188,-192,-2,-229,-210,-22,-228,-4,-64,-114,-63,-209,-235,-210,-225,-106,-125,-199,-228,-258,-175,-47,-311,-53,-273,-240,-333,-507
"15","AFFX-BioDn-5_st (endogenous control)","AFFX-BioDn-5_st",75,182,208,142,32,-94,109,-38,292,233,34,-80,62,0,39,196,-42,199,49,171,327,115,58,-71,85,80,270,232,48,465,-7,-96,297,38,208,-15,30,357
"16","AFFX-BioDn-3_st (endogenous control)","AFFX-BioDn-3_st",381,164,432,271,213,222,435,281,172,310,221,89,243,175,67,306,232,290,13,99,96,111,81,217,83,246,312,222,180,298,-156,16,353,-142,99,227,177,180
"17","AFFX-CreX-5_st (endogenous control)","AFFX-CreX-5_st",-118,-141,84,-107,1,-1,-129,-137,-59,-79,-41,-106,-41,-99,-122,-68,100,1,-46,-102,61,-2,-64,52,-77,-7,-179,-172,-141,-93,-47,-140,-96,-125,-126,-166,-69,-92
"18","AFFX-CreX-3_st (endogenous control)","AFFX-CreX-3_st",-565,-423,-501,-101,-260,-140,-399,-247,-323,-443,-204,-251,-424,-142,-110,-362,-599,-350,-334,-541,-79,-264,-131,-145,-120,-194,-874,-287,-233,-516,-397,-367,-291,-118,-534,-453,-411,-867
