,phrase,score
0,finite element,0.8573183903711117
1,steady state,0.7666116857758
2,quasi static,0.6618558143227768
3,brain tissue,0.5713477826422501
4,journal,0.5020732664481695
5,fracture,0.48264519033533565
6,engineering,0.4774691972120824
7,dw,0.47590741333562625
8,energy dissipation,0.4721187803286349
9,cutting,0.4629252875197242
10,physics,0.45903080765060633
11,soft,0.44101411006546687
12,mechanics,0.44083458041998325
13,brain,0.42843220731307724
14,dissipation,0.4250719328181749
15,solid,0.42327386132455125
16,al,0.42048220289227906
17,hyperelastic,0.4134431945465803
18,flow,0.4122427368675794
19,zone,0.4065562194263077
20,propagation,0.40612128346162296
21,numerical,0.40581110665235764
22,analysis,0.4006941865355455
23,finite,0.3982806931835243
24,mechanical,0.39701263449057345
25,theory,0.3963277530314548
26,diameter,0.3930219712720258
27,solids,0.38056784224784324
28,doi,0.37769311511916354
29,eq,0.3774412195040281
30,porous,0.3765962146176152
31,tip,0.3765582606667722
32,stress,0.37404237677686164
33,mm,0.37290467120332604
34,energy,0.37176786989420435
35,state,0.36607557127547297
36,gels,0.36166670374620546
37,pressure,0.35955573735043356
38,diffusion,0.35429357926344957
39,wire,0.3535031261102039
40,figure,0.35276935671818127
41,tissue,0.34731830477758097
42,material,0.3458089697606166
43,poroelastic,0.3435357604502946
44,insertion,0.3415532329387069
45,results,0.34088403851576315
46,steady,0.33711199126281594
47,ld,0.33646804069671643
48,dependent,0.33506851070009536
49,process,0.33385758247362535
50,failure,0.32949041764139814
51,edge,0.32895583618340096
52,strain,0.3276936676072281
53,large,0.32723854663287094
54,force,0.326663661629174
55,pf,0.32615419939205464
56,rate dependent,0.325514055983595
57,tests,0.3234976840619446
58,intrinsic,0.3195817654009759
59,rate,0.31880123121952875
60,relaxation,0.3154736741689196
61,model,0.3154259117587257
62,region,0.31516456512269386
63,cohesive,0.3142837556089561
64,materials,0.3127709428699401
65,dissipative,0.31196221341800723
66,biphasic,0.30641577701169326
67,experimental,0.30468087108645026
68,applied,0.29772273062101123
69,elastic,0.2970305715534723
70,hydrogels,0.29008014648349745
71,pore,0.2876546759761626
72,field,0.28746608150523884
73,v,0.2848577808698604
74,order,0.2820865707071072
75,effect,0.27638354601312665
76,length,0.2754104001680596
77,models,0.27358294226275787
78,permeability,0.26995556191367154
79,analyses,0.2684701445187099
80,deformation,0.26667623348614194
81,effects,0.26377957057913093
82,tissues,0.26076197228991244
83,properties,0.2510934564044899
84,loading,0.24758839684354028
85,displacement,0.24715394121444756
86,et al,0.24551971536257003
87,radius,0.2412810223653191
88,conditions,0.24060961244816143
89,proposed,0.2394932317858886
90,fluid,0.23916288186231838
91,behaviour,0.23571540149805617
92,considered,0.22209231049898107
93,employed,0.2195606216912325
94,shown,0.21892213299750177
95,in,0.21794083519488705
96,the,0.21722710375673793
97,at,0.20211357375982397
98,m,0.20013903088776297
99,o,0.19210113932761946
100,w,0.19088746440377943
101,0,0.18708281884101385
102,h,0.18650692445975323
103,r,0.1856245811743866
104,y,0.18378569591002658
105,j,0.18296939439196055
106,b,0.18269443507183597
107,i,0.1813939258669893
108,u,0.18025895648978166
109,x,0.17917247337881875
110,f,0.17808629890252628
111,1,0.17689262783460036
112,g,0.17569731860693544
113,p,0.17567854743831254
114,e,0.17521607957106206
115,t,0.17501518401983684
116,with,0.17450092514557664
117,this,0.17449474652783656
118,such,0.174406216762792
119,d,0.17274541777658886
120,n,0.17098870355484994
121,s,0.17061112329379946
122,c,0.16984504235662784
123,to,0.16804884309260165
124,under,0.1658197970353945
125,a,0.1646231817535627
126,during,0.16227696842721068
127,as,0.16191834021852353
128,for,0.16067378629213688
129,=,0.15819802381614925
130,on,0.1577514983220624
131,however,0.1568459689603197
132,it,0.15599091403899654
133,through,0.1542958323130801
134,our,0.15424123455052838
135,when,0.15413237715808412
136,an,0.15032859144611915
137,by,0.15016447273241804
138,of,0.14865002697229968
139,we,0.14621889777004873
140,from,0.14547111686367456
141,2,0.1335510536349971
142,+,0.13332385639621394
143,time,0.13263557599158474
144,10,0.1317909140528112
145,5,0.1293819051863096
146,2019,0.12934827787214462
147,value,0.12784870326467263
148,corresponding,0.12779691678421762
149,different,0.12778993620526535
150,2020,0.12526124193289395
151,work,0.12501138631060632
152,6,0.12437189476814474
153,2017,0.12376087200653152
154,2016,0.1221588197174534
155,2015,0.1220377437838522
156,2018,0.12146684625103861
157,between,0.12114143625940033
158,not,0.12001161584199538
159,its,0.11463649675493061
160,and,0.11153857494344192
161,was,0.10411870563550037
162,might,0.10327329287390191
163,can,0.10005158424933579
164,where,0.09990903994339312
165,have,0.0996861983707812
166,be,0.09898860676872058
167,are,0.09892290415610897
168,which,0.09846152093290811
169,that,0.09846152093290811
170,is,0.09812808133323093
171,with respect to,0.07880453555441283
172,= 0,0.066761662015159
173,due to,0.066501144417875
174,v =,0.02539429009167146
175,the brain,0.017910763226220705
176,the process,0.004044706845174576
